nomeEstacao,codEstacao,latitude,longitude,data,ano,mes,valorMedida,coordenadas
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-25,2023,8,11.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-26,2023,8,11.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-27,2023,8,5.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-28,2023,8,2.4000000000000004,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-29,2023,8,0.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-30,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-08-31,2023,8,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-01,2023,9,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-02,2023,9,5.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-03,2023,9,7.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-04,2023,9,2.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-05,2023,9,3.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-06,2023,9,2.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-07,2023,9,2.8000000000000003,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-09,2023,9,1.4000000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-10,2023,9,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-11,2023,9,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-13,2023,9,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-14,2023,9,4.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-17,2023,9,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-18,2023,9,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-20,2023,9,3.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-22,2023,9,3.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-23,2023,9,2.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-24,2023,9,2.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-25,2023,9,1.2000000000000002,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-26,2023,9,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-27,2023,9,1.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-28,2023,9,5.6000000000000005,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-29,2023,9,1.2000000000000002,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-09-30,2023,9,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-10-01,2023,10,5.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-10-02,2023,10,1.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-10-03,2023,10,0.6000000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-10-04,2023,10,2.0,"-48.41638888,-24.96277777"
